txn_id,user_id,timestamp,amount,device_id,city,hour,device_change,geo_change,if_score,if_label,flag
T00023,U1089,22-09-2025 02:39,169,D28,CityE,2,0,0,0.180246513,1,0
T00024,U1050,21-09-2025 21:45,216,D7,CityA,21,0,0,0.201761191,1,0
T00025,U1051,22-09-2025 10:31,160,D7,CityE,10,0,0,0.214788298,1,0
T00026,U1014,22-09-2025 15:07,221,D4,CityE,15,0,0,0.226765621,1,0
T00027,U1031,22-09-2025 11:22,235,D10,CityE,11,0,0,0.216568029,1,0
T00028,U1061,22-09-2025 12:12,218,D6,CityD,12,0,0,0.226564768,1,0
T00029,U1027,22-09-2025 02:14,248,D26,CityD,2,0,0,0.137291802,1,0
T00030,U1088,22-09-2025 04:37,189,D1,CityA,4,0,0,0.207341887,1,0
T00031,U1026,22-09-2025 07:15,214,D7,CityC,7,0,0,0.215522169,1,0
T00032,U1008,22-09-2025 08:38,213,D1,CityC,8,0,0,0.210879973,1,0
T00033,U1043,22-09-2025 02:51,175,D24,CityA,2,0,0,0.184228157,1,0
T00034,U1051,22-09-2025 05:43,171,D17,CityB,5,0,0,0.208447082,1,0
T00035,U1051,22-09-2025 02:55,254,D5,CityA,2,0,0,0.13354258,1,0
T00036,U1055,21-09-2025 21:53,250,D17,CityB,21,0,0,0.181655947,1,0
T00037,U1001,22-09-2025 06:51,195,D1,CityC,6,0,0,0.225635803,1,0
T00038,U1001,22-09-2025 09:44,187,D26,CityD,9,0,0,0.21949599,1,0
T00039,U1054,22-09-2025 15:16,239,D24,CityE,15,0,0,0.216707652,1,0
T00040,U1097,22-09-2025 12:12,154,D11,CityA,12,0,0,0.206961878,1,0
T00041,U1072,22-09-2025 04:41,285,D19,CityB,4,0,0,0.117909108,1,0
T00042,U1066,22-09-2025 16:25,243,D20,CityD,16,0,0,0.21618058,1,0
T00043,U1032,22-09-2025 06:32,262,D11,CityD,6,0,0,0.17058501,1,0
T00044,U1056,21-09-2025 23:43,203,D23,CityB,23,0,0,0.158573728,1,0
T00045,U1098,22-09-2025 02:29,114,D1,CityD,2,0,0,0.11485253,1,0
T00046,U1068,22-09-2025 18:36,205,D27,CityA,18,0,0,0.229319937,1,0
T00047,U1098,22-09-2025 13:48,205,D22,CityA,13,0,0,0.235313533,1,0
T00048,U1023,22-09-2025 17:25,205,D17,CityD,17,0,0,0.23173777,1,0
T00049,U1037,22-09-2025 13:03,107,D25,CityC,13,0,0,0.153815685,1,0
T00050,U1024,21-09-2025 21:07,258,D14,CityB,21,0,0,0.178459345,1,0
T00051,U1065,22-09-2025 13:36,140,D1,CityD,13,0,0,0.194867754,1,0
T00052,U1032,22-09-2025 08:51,232,D16,CityD,8,0,0,0.197691658,1,0
T00053,U1007,22-09-2025 17:22,241,D12,CityC,17,0,0,0.216083447,1,0
T00054,U1085,22-09-2025 03:21,294,D14,CityE,3,0,0,0.085853188,1,0
T00055,U1050,22-09-2025 18:24,260,D1,CityD,18,0,0,0.183821185,1,0
T00056,U1063,22-09-2025 17:44,226,D28,CityE,17,0,0,0.236609153,1,0
T00057,U1047,22-09-2025 03:44,202,D17,CityD,3,0,0,0.19940545,1,0
T00058,U1091,22-09-2025 08:16,193,D14,CityE,8,0,0,0.215623542,1,0
T00059,U1005,22-09-2025 05:53,223,D3,CityD,5,0,0,0.21052907,1,0
T00060,U1096,21-09-2025 22:48,196,D29,CityE,22,0,0,0.181537487,1,0
T00061,U1031,22-09-2025 17:25,153,D25,CityB,17,0,0,0.208499091,1,0
T00062,U1094,22-09-2025 17:15,174,D3,CityB,17,0,0,0.228719074,1,0
T00063,U1031,22-09-2025 13:06,134,D10,CityB,13,0,0,0.186467445,1,0
T00064,U1089,22-09-2025 14:46,162,D1,CityA,14,0,0,0.226859023,1,0
T00065,U1042,22-09-2025 14:00,109,D26,CityC,14,0,0,0.155830378,1,0
T00066,U1049,22-09-2025 17:48,223,D13,CityD,17,0,0,0.235834015,1,0
T00067,U1006,22-09-2025 09:02,228,D14,CityD,9,0,0,0.203899421,1,0
T00068,U1086,21-09-2025 21:39,256,D2,CityB,21,0,0,0.182064492,1,0
T00069,U1031,22-09-2025 10:52,198,D29,CityB,10,0,0,0.234030986,1,0
T00070,U1057,21-09-2025 21:43,173,D20,CityB,21,0,0,0.204667417,1,0
T00071,U1069,22-09-2025 04:16,100,D8,CityE,4,0,0,0.116932661,1,0
T00072,U1059,22-09-2025 02:10,221,D5,CityD,2,0,0,0.175295532,1,0
T00073,U1005,21-09-2025 22:14,319,D23,CityD,22,0,0,0.053002422,1,0
T00074,U1015,22-09-2025 20:25,292,D28,CityB,20,0,0,0.113278836,1,0
T00075,U1029,21-09-2025 21:59,134,D26,CityB,21,0,0,0.156744452,1,0
T00076,U1089,22-09-2025 20:06,100,D23,CityA,20,0,0,0.121418514,1,0
T00077,U1011,22-09-2025 06:48,183,D2,CityA,6,0,0,0.22130353,1,0
T00078,U1000,22-09-2025 19:55,184,D7,CityE,19,0,0,0.231878108,1,0
T00079,U1021,22-09-2025 14:31,204,D19,CityE,14,0,0,0.241111067,1,0
T00080,U1085,21-09-2025 21:20,170,D14,CityD,21,0,0,0.205571996,1,0
T00081,U1068,21-09-2025 23:15,234,D4,CityA,23,0,0,0.152288103,1,0
T00082,U1093,22-09-2025 12:35,229,D26,CityB,12,0,0,0.221383875,1,0
T00083,U1068,22-09-2025 18:16,200,D24,CityE,18,0,0,0.233020859,1,0
T00084,U1003,22-09-2025 11:46,237,D16,CityB,11,0,0,0.215516241,1,0
T00085,U1091,22-09-2025 11:03,205,D18,CityC,11,0,0,0.237144472,1,0
T00086,U1032,22-09-2025 07:59,233,D19,CityC,7,0,0,0.199292374,1,0
T00087,U1011,22-09-2025 06:15,214,D17,CityB,6,0,0,0.219004811,1,0
T00088,U1007,22-09-2025 06:14,168,D10,CityB,6,0,0,0.21490806,1,0
T00089,U1033,22-09-2025 03:15,297,D18,CityE,3,0,0,0.075906432,1,0
T00090,U1074,22-09-2025 18:03,197,D4,CityA,18,0,0,0.228865268,1,0
T00091,U1020,22-09-2025 20:13,89,D24,CityC,20,0,0,0.09513421,1,0
T00092,U1048,22-09-2025 14:33,269,D4,CityB,14,0,0,0.178417355,1,0
T00093,U1095,22-09-2025 05:10,277,D25,CityC,5,0,0,0.150250059,1,0
T00094,U1029,22-09-2025 18:39,178,D20,CityA,18,0,0,0.228702686,1,0
T00095,U1085,22-09-2025 04:08,219,D20,CityC,4,0,0,0.203093315,1,0
T00096,U1015,22-09-2025 07:45,193,D3,CityD,7,0,0,0.22395732,1,0
T00097,U1024,22-09-2025 10:17,182,D21,CityB,10,0,0,0.227166251,1,0
T00098,U1057,21-09-2025 22:22,212,D26,CityE,22,0,0,0.188581308,1,0
T00099,U1034,22-09-2025 18:18,158,D12,CityA,18,0,0,0.214113441,1,0
T00100,U1073,22-09-2025 17:05,183,D17,CityE,17,0,0,0.234112029,1,0
T00101,U1006,22-09-2025 07:13,174,D27,CityB,7,0,0,0.208858725,1,0
T00102,U1065,21-09-2025 22:57,132,D5,CityC,22,0,0,0.133034434,1,0
T00103,U1007,22-09-2025 05:58,257,D7,CityA,5,0,0,0.177674157,1,0
T00104,U1044,22-09-2025 15:04,176,D6,CityD,15,0,0,0.225846167,1,0
T00105,U1030,22-09-2025 08:33,273,D10,CityB,8,0,0,0.144163852,1,0
T00106,U1018,21-09-2025 23:40,156,D3,CityE,23,0,0,0.133036115,1,0
T00107,U1012,22-09-2025 06:43,279,D8,CityE,6,0,0,0.144503497,1,0
T00108,U1038,22-09-2025 14:54,223,D13,CityD,14,0,0,0.232638,1,0
T00109,U1061,22-09-2025 06:36,157,D1,CityE,6,0,0,0.200904758,1,0
T00110,U1005,22-09-2025 16:15,197,D13,CityE,16,0,0,0.231754319,1,0
T00111,U1060,22-09-2025 04:44,191,D19,CityD,4,0,0,0.209090393,1,0
T00112,U1056,22-09-2025 09:33,214,D9,CityA,9,0,0,0.220900434,1,0
T00113,U1013,22-09-2025 04:04,271,D11,CityD,4,0,0,0.148478626,1,0
T00114,U1073,22-09-2025 19:48,164,D8,CityD,19,0,0,0.220918783,1,0
T00115,U1023,22-09-2025 11:52,158,D26,CityB,11,0,0,0.220558651,1,0
T00116,U1059,22-09-2025 11:00,170,D28,CityE,11,0,0,0.228981139,1,0
T00117,U1040,22-09-2025 03:14,175,D9,CityA,3,0,0,0.19483948,1,0
T00118,U1083,22-09-2025 11:28,197,D16,CityE,11,0,0,0.231687732,1,0
T00119,U1012,22-09-2025 18:51,237,D2,CityB,18,0,0,0.220439005,1,0
T00120,U1055,22-09-2025 18:02,273,D27,CityE,18,0,0,0.16744379,1,0
T00121,U1004,21-09-2025 21:37,258,D15,CityA,21,0,0,0.178459345,1,0
T00122,U1010,22-09-2025 11:15,176,D25,CityC,11,0,0,0.22589118,1,0
T00123,U1026,22-09-2025 10:39,210,D5,CityE,10,0,0,0.237193137,1,0
T00124,U1002,22-09-2025 10:19,175,D5,CityE,10,0,0,0.227406545,1,0
T00125,U1036,22-09-2025 15:10,132,D9,CityA,15,0,0,0.191742607,1,0
T00126,U1050,22-09-2025 03:35,168,D4,CityA,3,0,0,0.193489994,1,0
T00127,U1031,21-09-2025 22:07,26,D3,CityC,22,0,0,-0.012059657,-1,1
T00128,U1049,22-09-2025 17:27,186,D22,CityD,17,0,0,0.234589485,1,0
T00129,U1004,21-09-2025 23:07,220,D15,CityE,23,0,0,0.1600947,1,0
T00130,U1084,22-09-2025 12:20,267,D11,CityC,12,0,0,0.174860852,1,0
T00131,U1037,22-09-2025 11:48,202,D18,CityC,11,0,0,0.235588114,1,0
T00132,U1050,22-09-2025 18:41,212,D20,CityA,18,0,0,0.233825823,1,0
T00133,U1037,22-09-2025 07:49,186,D10,CityC,7,0,0,0.216696964,1,0
T00134,U1080,22-09-2025 19:47,226,D4,CityB,19,0,0,0.230496996,1,0
T00135,U1055,22-09-2025 17:12,206,D2,CityE,17,0,0,0.235474126,1,0
T00136,U1042,22-09-2025 02:45,175,D19,CityA,2,0,0,0.184228157,1,0
T00137,U1022,22-09-2025 00:04,144,D24,CityA,0,0,0,0.101949238,1,0
T00138,U1066,22-09-2025 17:59,224,D27,CityE,17,0,0,0.236600249,1,0
T00139,U1031,22-09-2025 01:08,173,D29,CityE,1,0,0,0.155944977,1,0
T00140,U1069,21-09-2025 23:53,160,D9,CityD,23,0,0,0.136800858,1,0
T00141,U1089,22-09-2025 18:27,181,D27,CityA,18,0,0,0.232734626,1,0
T00142,U1025,22-09-2025 16:11,159,D25,CityC,16,0,0,0.213260532,1,0
T00143,U1062,22-09-2025 06:03,209,D20,CityB,6,0,0,0.223518105,1,0
T00144,U1027,22-09-2025 05:51,161,D24,CityB,5,0,0,0.192558276,1,0
T00145,U1025,21-09-2025 21:52,242,D15,CityC,21,0,0,0.194337119,1,0
T00146,U1017,22-09-2025 07:44,150,D3,CityC,7,0,0,0.192552046,1,0
T00147,U1014,21-09-2025 23:31,161,D7,CityA,23,0,0,0.136453218,1,0
T00148,U1016,22-09-2025 02:04,228,D26,CityD,2,0,0,0.166339917,1,0
T00149,U1024,22-09-2025 18:22,284,D3,CityA,18,0,0,0.139210368,1,0
T00150,U1017,21-09-2025 23:05,244,D15,CityB,23,0,0,0.143902442,1,0
T00151,U1007,22-09-2025 11:04,99,D5,CityD,11,0,0,0.1337746,1,0
T00152,U1025,22-09-2025 11:34,253,D27,CityC,11,0,0,0.187870682,1,0
T00153,U1069,22-09-2025 11:32,181,D6,CityD,11,0,0,0.228262573,1,0
T00154,U1093,22-09-2025 01:28,188,D24,CityA,1,0,0,0.1570547,1,0
T00155,U1002,22-09-2025 09:35,213,D6,CityB,9,0,0,0.221190957,1,0
T00156,U1083,22-09-2025 20:16,197,D4,CityA,20,0,0,0.215676105,1,0
T00157,U1093,22-09-2025 01:06,226,D15,CityC,1,0,0,0.137017171,1,0
T00158,U1007,22-09-2025 08:26,210,D13,CityD,8,0,0,0.216113945,1,0
T00159,U1004,22-09-2025 01:29,161,D1,CityD,1,0,0,0.147319661,1,0
T00160,U1011,21-09-2025 23:45,109,D26,CityE,23,0,0,0.075757871,1,0
T00161,U1010,22-09-2025 19:22,244,D6,CityB,19,0,0,0.213499299,1,0
T00162,U1009,22-09-2025 10:09,115,D10,CityD,10,0,0,0.169415276,1,0
T00163,U1001,22-09-2025 04:44,169,D5,CityA,4,0,0,0.208161942,1,0
T00164,U1016,21-09-2025 23:48,238,D15,CityC,23,0,0,0.151790417,1,0
T00165,U1093,21-09-2025 23:33,222,D18,CityE,23,0,0,0.161685309,1,0
T00166,U1074,22-09-2025 19:31,232,D12,CityC,19,0,0,0.230648612,1,0
T00167,U1034,22-09-2025 19:14,228,D5,CityD,19,0,0,0.228488562,1,0
T00168,U1029,22-09-2025 16:48,224,D5,CityE,16,0,0,0.234120384,1,0
T00169,U1082,22-09-2025 12:57,89,D13,CityB,12,0,0,0.097590679,1,0
T00170,U1088,22-09-2025 13:23,218,D8,CityC,13,0,0,0.228228022,1,0
T00171,U1037,22-09-2025 09:57,299,D17,CityA,9,0,0,0.099857134,1,0
T00172,U1065,22-09-2025 10:02,121,D8,CityC,10,0,0,0.176735891,1,0
T00173,U1038,21-09-2025 23:48,208,D8,CityB,23,0,0,0.159805992,1,0
T00174,U1063,22-09-2025 01:00,228,D15,CityE,1,0,0,0.132388196,1,0
T00175,U1032,22-09-2025 09:48,209,D6,CityA,9,0,0,0.224504587,1,0
T00176,U1096,22-09-2025 13:58,212,D27,CityA,13,0,0,0.232283022,1,0
T00177,U1067,22-09-2025 10:40,223,D1,CityE,10,0,0,0.228357536,1,0
T00178,U1030,22-09-2025 06:05,216,D13,CityD,6,0,0,0.219069905,1,0
T00179,U1055,22-09-2025 09:03,149,D4,CityD,9,0,0,0.190954542,1,0
T00180,U1044,22-09-2025 14:16,348,D19,CityC,14,0,0,0.024700589,1,0
T00181,U1035,22-09-2025 10:01,161,D11,CityB,10,0,0,0.212976553,1,0
T00182,U1037,22-09-2025 02:27,137,D23,CityB,2,0,0,0.147181131,1,0
T00183,U1045,22-09-2025 11:45,186,D8,CityD,11,0,0,0.229192003,1,0
T00184,U1042,22-09-2025 19:22,178,D4,CityD,19,0,0,0.226545232,1,0
T00185,U1004,22-09-2025 19:08,160,D28,CityB,19,0,0,0.217071426,1,0
T00186,U1008,22-09-2025 07:10,223,D29,CityA,7,0,0,0.210820445,1,0
T00187,U1085,22-09-2025 18:51,183,D26,CityD,18,0,0,0.232797875,1,0
T00188,U1053,22-09-2025 17:05,176,D1,CityC,17,0,0,0.229834529,1,0
T00189,U1039,22-09-2025 11:35,269,D10,CityD,11,0,0,0.162796419,1,0
T00190,U1056,21-09-2025 21:06,165,D9,CityC,21,0,0,0.195928032,1,0
T00191,U1062,22-09-2025 06:56,122,D27,CityA,6,0,0,0.160740246,1,0
T00192,U1042,21-09-2025 21:47,60,D27,CityC,21,0,0,0.022112008,1,0
T00193,U1053,22-09-2025 01:13,65,D24,CityA,1,0,0,0.001322382,1,0
T00194,U1048,22-09-2025 15:43,197,D11,CityB,15,0,0,0.232495026,1,0
T00195,U1027,22-09-2025 02:06,222,D9,CityA,2,0,0,0.173996184,1,0
T00196,U1019,22-09-2025 06:57,200,D28,CityE,6,0,0,0.223802338,1,0
T00197,U1048,22-09-2025 04:11,156,D19,CityC,4,0,0,0.189664055,1,0
T00198,U1055,22-09-2025 18:33,119,D29,CityA,18,0,0,0.160939108,1,0
T00199,U1044,22-09-2025 06:03,215,D1,CityC,6,0,0,0.217812466,1,0
T00200,U1046,22-09-2025 09:39,258,D22,CityD,9,0,0,0.173388177,1,0
T00201,U1093,22-09-2025 10:25,182,D29,CityC,10,0,0,0.227166251,1,0
T00202,U1031,22-09-2025 03:32,181,D19,CityB,3,0,0,0.193759311,1,0
T00203,U1096,21-09-2025 21:36,224,D29,CityA,21,0,0,0.205645297,1,0
T00204,U1056,22-09-2025 02:19,161,D24,CityC,2,0,0,0.162716335,1,0
T00205,U1071,21-09-2025 23:29,173,D1,CityD,23,0,0,0.148759576,1,0
T00206,U1007,21-09-2025 23:23,224,D24,CityC,23,0,0,0.158990162,1,0
T00207,U1015,22-09-2025 06:31,145,D23,CityB,6,0,0,0.188614046,1,0
T00208,U1006,22-09-2025 12:11,230,D1,CityE,12,0,0,0.22121304,1,0
T00209,U1018,21-09-2025 23:56,216,D18,CityB,23,0,0,0.158080386,1,0
T00210,U1000,22-09-2025 16:37,243,D20,CityC,16,0,0,0.21618058,1,0
T00211,U1001,22-09-2025 05:42,259,D9,CityB,5,0,0,0.17137039,1,0
T00212,U1052,22-09-2025 04:04,166,D20,CityB,4,0,0,0.204606403,1,0
T00213,U1085,22-09-2025 15:42,208,D27,CityA,15,0,0,0.236362694,1,0
T00214,U1080,22-09-2025 03:26,151,D8,CityB,3,0,0,0.171952061,1,0
T00215,U1024,22-09-2025 03:11,208,D4,CityB,3,0,0,0.200384748,1,0
T00216,U1057,22-09-2025 18:36,190,D2,CityE,18,0,0,0.233261233,1,0
T00217,U1074,22-09-2025 16:44,267,D9,CityB,16,0,0,0.182730916,1,0
T00218,U1016,22-09-2025 06:43,206,D6,CityB,6,0,0,0.228504182,1,0
T00219,U1075,22-09-2025 01:57,281,D25,CityE,1,0,0,0.057557921,1,0
T00220,U1070,22-09-2025 10:45,278,D17,CityB,10,0,0,0.159718634,1,0
T00221,U1084,22-09-2025 06:11,168,D28,CityC,6,0,0,0.21490806,1,0
T00222,U1064,21-09-2025 22:59,201,D4,CityC,22,0,0,0.18670382,1,0
T00223,U1025,21-09-2025 22:38,188,D4,CityA,22,0,0,0.181426467,1,0
T00224,U1058,22-09-2025 04:07,260,D3,CityB,4,0,0,0.155473233,1,0
T00225,U1054,22-09-2025 12:55,204,D1,CityB,12,0,0,0.234225855,1,0
T00226,U1035,22-09-2025 09:57,208,D19,CityC,9,0,0,0.227118429,1,0
T00227,U1080,22-09-2025 08:54,115,D26,CityB,8,0,0,0.153628127,1,0
T00228,U1072,21-09-2025 22:48,249,D17,CityA,22,0,0,0.166860584,1,0
T00229,U1088,22-09-2025 13:55,152,D3,CityC,13,0,0,0.205686506,1,0
T00230,U1043,22-09-2025 20:13,315,D6,CityB,20,0,0,0.072758132,1,0
T00231,U1011,22-09-2025 05:39,134,D16,CityC,5,0,0,0.16927189,1,0
T00232,U1007,22-09-2025 12:20,188,D17,CityE,12,0,0,0.229531564,1,0
T00233,U1079,22-09-2025 17:22,196,D15,CityC,17,0,0,0.227438616,1,0
T00234,U1025,21-09-2025 22:14,116,D26,CityB,22,0,0,0.109084586,1,0
T00235,U1015,22-09-2025 19:12,213,D26,CityE,19,0,0,0.230300955,1,0
T00236,U1006,22-09-2025 04:08,136,D16,CityB,4,0,0,0.166534885,1,0
T00237,U1058,22-09-2025 19:39,256,D7,CityC,19,0,0,0.190036992,1,0
T00238,U1017,22-09-2025 09:32,195,D7,CityA,9,0,0,0.221470334,1,0
T00239,U1013,22-09-2025 11:18,178,D2,CityC,11,0,0,0.225539398,1,0
T00240,U1036,22-09-2025 09:43,184,D26,CityD,9,0,0,0.219308892,1,0
T00241,U1038,22-09-2025 04:34,272,D25,CityE,4,0,0,0.14601641,1,0
T00242,U1081,22-09-2025 09:29,209,D13,CityB,9,0,0,0.224504587,1,0
T00243,U1065,21-09-2025 21:35,204,D3,CityC,21,0,0,0.202645993,1,0
T00244,U1038,21-09-2025 21:13,253,D29,CityA,21,0,0,0.181634686,1,0
T00245,U1092,21-09-2025 21:54,329,D12,CityA,21,0,0,0.038846652,1,0
T00246,U1009,21-09-2025 23:12,167,D7,CityD,23,0,0,0.146985365,1,0
T00247,U1004,22-09-2025 14:34,199,D24,CityB,14,0,0,0.240163992,1,0
T00248,U1067,22-09-2025 14:10,193,D5,CityA,14,0,0,0.240215997,1,0
T00249,U1047,21-09-2025 21:25,198,D17,CityA,21,0,0,0.204323586,1,0
T00250,U1087,21-09-2025 23:59,211,D27,CityB,23,0,0,0.159625954,1,0
T00251,U1036,22-09-2025 15:52,191,D24,CityC,15,0,0,0.231463655,1,0
T00252,U1061,22-09-2025 11:43,158,D25,CityD,11,0,0,0.220558651,1,0
T00253,U1003,22-09-2025 02:33,208,D21,CityC,2,0,0,0.189747499,1,0
T00254,U1073,21-09-2025 22:07,224,D25,CityB,22,0,0,0.186417139,1,0
T00255,U1040,22-09-2025 01:28,168,D5,CityA,1,0,0,0.154857036,1,0
T00256,U1008,22-09-2025 19:15,259,D26,CityA,19,0,0,0.187602798,1,0
T00257,U1060,22-09-2025 03:14,108,D17,CityC,3,0,0,0.11352781,1,0
T00258,U1031,22-09-2025 08:07,358,D13,CityE,8,0,0,0.009429618,1,0
T00259,U1088,22-09-2025 11:13,157,D9,CityC,11,0,0,0.217169443,1,0
T00260,U1091,22-09-2025 08:26,208,D3,CityA,8,0,0,0.215703819,1,0
T00261,U1097,22-09-2025 17:41,227,D5,CityC,17,0,0,0.235130354,1,0
T00262,U1058,22-09-2025 03:45,254,D28,CityC,3,0,0,0.153787896,1,0
T00263,U1004,21-09-2025 22:10,227,D16,CityE,22,0,0,0.186305441,1,0
T00264,U1027,21-09-2025 22:49,201,D17,CityB,22,0,0,0.18670382,1,0
T00265,U1039,22-09-2025 18:11,245,D3,CityB,18,0,0,0.209152944,1,0
T00266,U1039,22-09-2025 10:34,201,D13,CityA,10,0,0,0.236343133,1,0
T00267,U1005,22-09-2025 09:30,181,D27,CityC,9,0,0,0.218789866,1,0
T00268,U1047,22-09-2025 14:00,227,D11,CityE,14,0,0,0.231871778,1,0
T00269,U1088,22-09-2025 19:19,215,D28,CityE,19,0,0,0.230065501,1,0
T00270,U1044,22-09-2025 17:55,168,D19,CityB,17,0,0,0.227987333,1,0
T00271,U1009,22-09-2025 16:40,211,D18,CityD,16,0,0,0.239038523,1,0
T00272,U1001,22-09-2025 16:58,192,D29,CityD,16,0,0,0.232215386,1,0
T00273,U1038,22-09-2025 01:38,187,D9,CityA,1,0,0,0.15737241,1,0
T00274,U1094,22-09-2025 06:02,170,D24,CityE,6,0,0,0.213812899,1,0
T00275,U1034,22-09-2025 00:04,259,D28,CityD,0,0,0,0.068596905,1,0
T00276,U1078,22-09-2025 19:22,188,D29,CityD,19,0,0,0.229747917,1,0
T00277,U1019,22-09-2025 13:30,190,D17,CityD,13,0,0,0.22969737,1,0
T00278,U1021,22-09-2025 14:00,179,D22,CityA,14,0,0,0.234794123,1,0
T00279,U1021,22-09-2025 11:54,172,D29,CityD,11,0,0,0.229518264,1,0
T00280,U1006,21-09-2025 22:34,218,D1,CityC,22,0,0,0.186497255,1,0
T00281,U1074,22-09-2025 13:23,114,D29,CityD,13,0,0,0.165059386,1,0
T00282,U1080,21-09-2025 23:27,179,D9,CityE,23,0,0,0.151832106,1,0
T00283,U1028,22-09-2025 04:09,223,D20,CityC,4,0,0,0.200690382,1,0
T00284,U1026,22-09-2025 17:49,228,D12,CityD,17,0,0,0.233059357,1,0
T00285,U1092,22-09-2025 19:38,292,D6,CityC,19,0,0,0.115960054,1,0
T00286,U1056,22-09-2025 07:36,146,D27,CityA,7,0,0,0.189894309,1,0
T00287,U1057,22-09-2025 18:27,164,D17,CityA,18,0,0,0.218419391,1,0
T00288,U1023,22-09-2025 05:50,166,D15,CityD,5,0,0,0.204575981,1,0
T00289,U1079,22-09-2025 10:02,179,D29,CityE,10,0,0,0.226097129,1,0
T00290,U1007,22-09-2025 15:30,175,D14,CityB,15,0,0,0.226741278,1,0
T00291,U1070,22-09-2025 12:01,209,D14,CityA,12,0,0,0.232108027,1,0
T00292,U1093,21-09-2025 23:48,235,D17,CityD,23,0,0,0.15380224,1,0
T00293,U1083,22-09-2025 07:19,197,D22,CityE,7,0,0,0.221392583,1,0
T00294,U1001,22-09-2025 16:08,128,D11,CityE,16,0,0,0.175631097,1,0
T00295,U1080,21-09-2025 21:16,191,D14,CityC,21,0,0,0.205138954,1,0
T00296,U1044,22-09-2025 15:10,165,D28,CityA,15,0,0,0.222768148,1,0
T00297,U1007,22-09-2025 14:22,168,D12,CityA,14,0,0,0.232820574,1,0
T00298,U1045,22-09-2025 00:25,221,D16,CityD,0,0,0,0.112760611,1,0
T00299,U1019,22-09-2025 05:18,203,D9,CityE,5,0,0,0.219242021,1,0
T00300,U1029,21-09-2025 21:47,160,D20,CityB,21,0,0,0.193107193,1,0
T00301,U1021,22-09-2025 04:43,245,D10,CityD,4,0,0,0.169331847,1,0
T00302,U1048,22-09-2025 19:50,227,D29,CityC,19,0,0,0.228911514,1,0
T00303,U1005,22-09-2025 11:16,273,D9,CityB,11,0,0,0.158292837,1,0
T00304,U1075,22-09-2025 17:54,276,D18,CityD,17,0,0,0.166078162,1,0
T00305,U1061,22-09-2025 15:48,183,D11,CityD,15,0,0,0.23247211,1,0
T00306,U1079,22-09-2025 10:08,320,D26,CityB,10,0,0,0.066795877,1,0
T00307,U1002,21-09-2025 21:58,188,D18,CityD,21,0,0,0.203100334,1,0
T00308,U1086,22-09-2025 12:36,139,D25,CityE,12,0,0,0.194751639,1,0
T00309,U1018,22-09-2025 20:25,148,D23,CityE,20,0,0,0.190110453,1,0
T00310,U1054,21-09-2025 22:02,173,D12,CityB,22,0,0,0.172698909,1,0
T00311,U1069,22-09-2025 14:15,201,D10,CityC,14,0,0,0.242770197,1,0
T00312,U1034,22-09-2025 02:17,206,D22,CityA,2,0,0,0.192311936,1,0
T00313,U1006,22-09-2025 08:06,219,D29,CityD,8,0,0,0.210372749,1,0
T00314,U1036,22-09-2025 05:18,232,D12,CityD,5,0,0,0.201778065,1,0
T00315,U1059,21-09-2025 21:57,211,D4,CityB,21,0,0,0.206640428,1,0
T00316,U1097,22-09-2025 08:40,252,D2,CityB,8,0,0,0.172518147,1,0
